Name,Rating,Trigger,Ranking,Order_Label
a_AlarmClock_s.wav,0,No,1,1
a_ToddlerCrying_s_rev.wav,0,No,2,3
a_ScreamWithEcho_s.wav,0,No,3,5
a_GhostWhispers_s.wav,0,No,4,8
a_FlyBuzzing_s.wav,0,No,5,2
a_FireTruckAlarm_s.wav,0,No,6,4
Personalized 3,2,No,7,6
Personalized 6,2,No,8,9
m_SippingCoffeeCombined_s.wav,2,No,9,7
Personalized 4,4,No,10,10
m_ALotOfYawning_s.wav,0,Yes,1,1
m_HeavyBreathing2_s.wav,0,Yes,2,3
m_HeavyBreathing_s.wav,0,Yes,3,5
m_iads_Chewing_724_s.wav,0,Yes,4,8
m_SippingCoffeeCombined_s.wav,2,Yes,5,2
m_EatingSmallCrunches_s.wav,4,Yes,6,4
m_HotTeaSlurping_s.wav,4,Yes,7,6
m_SlurpingNoodles_s.wav,4,Yes,8,9
m_IADS_Vomit_255_s.wav,6,Yes,9,7
m_SlurpingEatingCombined_s.wav,7,Yes,10,10
