Name,Rating,Trigger,Ranking,Order_Label
a_PuppyCrying_s.wav,4,No,1,1
a_WomanWailing_s.wav,4,No,2,3
m_Whistling_s.wav,4,No,3,5
n_RainOnTrees_s.wav,4,No,4,8
m_Whistling_s.wav,4,No,5,2
a_PuppyCrying_s.wav,4,No,6,4
a_WomanWailing_s.wav,4,No,7,6
m_ThroatClearing5_s.wav,6,No,8,9
m_ThroatClearing5_s.wav,6,No,9,7
a_FemaleScream_s.wav,7,No,10,10
Personalized 1,4,Yes,1,1
a_Fart_s.wav,4,Yes,2,3
m_CrispsAndPacket_s.wav,4,Yes,3,5
m_FemalePanting_s.wav,4,Yes,4,8
m_EatingCandy_s.wav,5,Yes,5,2
m_EatingSmallCrunches_s.wav,5,Yes,6,4
m_Keyboard2_s.wav,5,Yes,7,6
m_Yawn_s.wav,5,Yes,8,9
m_ALotOfYawning_s.wav,6,Yes,9,7
m_GumChewing2_s.wav,6,Yes,10,10
