Subject,Category,Name,Trigger,Rating
4,0,a_GhostWhispers_s.wav,Yes,3
4,0,m_Sniffling_s.wav,Yes,3
4,0,a_GhostWhispers_s.wav,Yes,3
4,0,Personalized 1,Yes,4
4,0,Personalized 1,Yes,4
4,0,m_SnoringD_s.wav,Yes,4
4,1,m_FemalePanting_s.wav,Yes,4
4,1,m_CrispsAndPacket_s.wav,Yes,4
4,1,m_SippingCoffeeCombined_s.wav,Yes,4
4,1,m_SnoringD_s.wav,Yes,4
4,1,m_SippingCoffeeCombined_s.wav,Yes,4
4,1,m_FemalePanting_s.wav,Yes,4
4,2,m_CrispsAndPacket_s.wav,Yes,4
4,2,a_Fart_s.wav,Yes,4
4,2,m_LipsSmacking_s.wav,Yes,4
4,2,m_Keyboard2_s.wav,Yes,5
4,2,m_Yawn_s.wav,Yes,5
4,2,m_EatingSmallCrunches_s.wav,Yes,5
4,3,m_EatingCandy_s.wav,Yes,5
4,3,m_Keyboard2_s.wav,Yes,5
4,3,m_GumChewing2_s.wav,Yes,6
4,3,m_GumChewing2_s.wav,Yes,6
4,3,m_ALotOfYawning_s.wav,Yes,6
4,3,m_ALotOfYawning_s.wav,Yes,6
