Name,Rating,Trigger,Ranking,Order_Label
a_WomanWailing_s.wav,6,No,1,1
a_ScreamWithEcho_s.wav,6,No,2,3
a_PuppyCrying_s.wav,6,No,3,5
a_FireTruckAlarm_s.wav,6,No,4,8
a_CryingMan_s.wav,6,No,5,2
m_iads_Whistling_270_s.wav,6,No,6,4
Personalized 6,6,No,7,6
a_Fart_s.wav,8,No,8,9
a_CarsHonking_s.wav,8,No,9,7
a_AlarmClock_s.wav,9,No,10,10
m_DrinkingWater_s.wav,5,Yes,1,1
m_AppleEating_s.wav,5,Yes,2,3
m_HotTeaSlurping_s.wav,5,Yes,3,5
m_ChewingGum_s.wav,5,Yes,4,8
m_ChewingPopcornManyCrunches_s.wav,5,Yes,5,2
m_HeavyBreathing2_s.wav,6,Yes,6,4
m_FemalePanting_s.wav,6,Yes,7,6
m_EatingSaladCutlery_s.wav,6,Yes,8,9
m_ChewingFoodWithMouthOpen_s.wav,7,Yes,9,7
m_SlowHardBreathing_s.wav,7,Yes,10,10
